Id,Id2,Geography,Estimate,Error
8600000US92273,92273,ZCTA5 92273,1430,295
8600000US92274,92274,ZCTA5 92274,18405,1234
8600000US92275,92275,ZCTA5 92275,1239,437
8600000US92276,92276,ZCTA5 92276,7541,731
8600000US92277,92277,ZCTA5 92277,23642,838
8600000US92278,92278,ZCTA5 92278,4567,566
8600000US92280,92280,ZCTA5 92280,0,13
8600000US92281,92281,ZCTA5 92281,1779,243
8600000US92282,92282,ZCTA5 92282,735,219
8600000US92283,92283,ZCTA5 92283,2807,340
8600000US92284,92284,ZCTA5 92284,24685,512
8600000US92285,92285,ZCTA5 92285,2441,507
8600000US92301,92301,ZCTA5 92301,31907,514
8600000US92304,92304,ZCTA5 92304,47,64
8600000US92305,92305,ZCTA5 92305,312,205
8600000US92307,92307,ZCTA5 92307,36891,934
8600000US92308,92308,ZCTA5 92308,40217,1003
8600000US92309,92309,ZCTA5 92309,730,206
8600000US92310,92310,ZCTA5 92310,9581,864
8600000US92311,92311,ZCTA5 92311,32859,1015
8600000US92313,92313,ZCTA5 92313,12140,41
8600000US92314,92314,ZCTA5 92314,9785,1312
8600000US92315,92315,ZCTA5 92315,5150,110
8600000US92316,92316,ZCTA5 92316,31768,1723
8600000US92320,92320,ZCTA5 92320,7818,100
8600000US92321,92321,ZCTA5 92321,1004,320
8600000US92322,92322,ZCTA5 92322,598,298
8600000US92324,92324,ZCTA5 92324,56471,818
8600000US92325,92325,ZCTA5 92325,8174,1109
8600000US92327,92327,ZCTA5 92327,1253,1043
8600000US92328,92328,ZCTA5 92328,263,89
8600000US92332,92332,ZCTA5 92332,6,7
8600000US92333,92333,ZCTA5 92333,644,312
8600000US92335,92335,ZCTA5 92335,98228,2650
8600000US92336,92336,ZCTA5 92336,89922,1972
8600000US92337,92337,ZCTA5 92337,36609,1299
8600000US92338,92338,ZCTA5 92338,0,13
8600000US92339,92339,ZCTA5 92339,1046,237
8600000US92341,92341,ZCTA5 92341,263,145
8600000US92342,92342,ZCTA5 92342,5946,642
8600000US92344,92344,ZCTA5 92344,19986,1435
8600000US92345,92345,ZCTA5 92345,79070,1130
8600000US92346,92346,ZCTA5 92346,57365,1776
8600000US92347,92347,ZCTA5 92347,1791,521
8600000US92352,92352,ZCTA5 92352,6294,943
8600000US92354,92354,ZCTA5 92354,21475,727
8600000US92356,92356,ZCTA5 92356,6155,965
8600000US92358,92358,ZCTA5 92358,1068,434
8600000US92359,92359,ZCTA5 92359,7397,728
8600000US92363,92363,ZCTA5 92363,5156,108
8600000US92364,92364,ZCTA5 92364,53,47
8600000US92365,92365,ZCTA5 92365,2552,532
8600000US92368,92368,ZCTA5 92368,1030,238
8600000US92371,92371,ZCTA5 92371,14727,1322
8600000US92372,92372,ZCTA5 92372,4859,632
8600000US92373,92373,ZCTA5 92373,33279,1141
8600000US92374,92374,ZCTA5 92374,40494,1012
8600000US92376,92376,ZCTA5 92376,83613,1863
8600000US92377,92377,ZCTA5 92377,19698,1372
8600000US92378,92378,ZCTA5 92378,139,96
8600000US92382,92382,ZCTA5 92382,5519,750
8600000US92384,92384,ZCTA5 92384,59,30
8600000US92385,92385,ZCTA5 92385,181,117
8600000US92386,92386,ZCTA5 92386,1858,605
8600000US92389,92389,ZCTA5 92389,82,38
8600000US92391,92391,ZCTA5 92391,2335,648
8600000US92392,92392,ZCTA5 92392,52312,1657
8600000US92394,92394,ZCTA5 92394,34350,1650
8600000US92395,92395,ZCTA5 92395,43378,1717
8600000US92397,92397,ZCTA5 92397,4833,666
8600000US92398,92398,ZCTA5 92398,1068,508
8600000US92399,92399,ZCTA5 92399,53219,422
8600000US92401,92401,ZCTA5 92401,1952,457
8600000US92404,92404,ZCTA5 92404,60222,2647
8600000US92405,92405,ZCTA5 92405,31075,1999
8600000US92407,92407,ZCTA5 92407,55780,2052
8600000US92408,92408,ZCTA5 92408,14077,1157
8600000US92410,92410,ZCTA5 92410,48069,2164
8600000US92411,92411,ZCTA5 92411,25443,1176
8600000US92501,92501,ZCTA5 92501,21887,1415
8600000US92503,92503,ZCTA5 92503,89783,2419
8600000US92504,92504,ZCTA5 92504,53194,2344
8600000US92505,92505,ZCTA5 92505,48803,1545
8600000US92506,92506,ZCTA5 92506,44129,1420
8600000US92507,92507,ZCTA5 92507,53791,1978
8600000US92508,92508,ZCTA5 92508,35278,1384
8600000US92509,92509,ZCTA5 92509,78700,2252
8600000US92518,92518,ZCTA5 92518,968,251
8600000US92530,92530,ZCTA5 92530,48687,1705
8600000US92532,92532,ZCTA5 92532,19713,1213
8600000US92536,92536,ZCTA5 92536,3613,791
8600000US92539,92539,ZCTA5 92539,4284,788
8600000US92543,92543,ZCTA5 92543,34054,1234
