CITY, POPULATION
Running Springs, 4862
Russian River-Coastal, 24878
Sacramento Canyon, 1761
Sacramento, 475516
Salida, 13722
Salinas, 154484
Salton City, 3763
Salton Sea Beach, 422
Samoa, 258
San Andreas, 2783
San Anselmo, 12491
San Antonio Heights, 3371
San Ardo, 517
San Benito-Bitterwater, 907
San Bernardino, 213295
San Bruno, 42165
San Buenaventura (Ventura), 107734
San Carlos, 29092
San Clemente, 64882
San Diego Country Estates, 10109
San Diego, 1338348
San Dimas, 33737
San Fernando, 23880
San Francisco, 825863
San Gabriel, 40150
San Geronimo, 446
San Gorgonio Pass, 70591
San Jacinto, 45384
San Joaquin Hills, 3064
San Joaquin, 3998
San Jose, 982765
San Juan Bautista, 1900
San Juan Capistrano, 35360
San Leandro, 86890
San Lorenzo Valley, 28033
San Lorenzo, 23452
San Lucas, 269
San Luis Obispo, 45878
San Marcos, 86752
San Marino, 13269
San Martin, 7027
San Mateo, 99670
San Miguel, 2336
San Pablo, 29720
San Pasqual, 2041
San Rafael, 58502
San Ramon, 73927
San Simeon, 462
Sand City, 342
Sanger, 24567
Santa Ana, 330920
Santa Barbara, 89639
Santa Clara, 119311
Santa Clarita, 179013
Santa Cruz, 62041
Santa Fe Springs, 16767
Santa Margarita, 1259
Santa Maria Valley, 110971
Santa Maria, 101459
Santa Monica, 91812
Santa Nella, 1380
Santa Paula, 29963
Santa Rosa Valley, 3334
Santa Rosa, 170685
Santa Susana, 1037
Santa Venetia, 4292
Santa Ynez Valley, 21898
Santa Ynez, 4418
Santee, 55343
Saranap, 5202
Saratoga, 30677
Saticoy, 1029
Sausalito, 7037
Scotia, 850
Scotts Valley, 11670
Sea Ranch, 1305
Seacliff, 3267
Seal Beach, 24664
Searles Valley, 1739
Seaside, 33878
Sebastopol, 7525
Sedco Hills, 4058
Seeley, 1739
Selma, 23778
Seven Trees, 1703
Seville, 480
Shackelford, 3371
Shafter, 17117
Shandon, 1295
Shasta Lake, 10213
Shasta, 1771
Shaver Lake, 634
Shell Ridge, 959
Shelter Cove, 693
Sheridan, 1238
Shingle Springs, 4432
Shingletown, 2283
Sierra Brooks, 478
Sierra City, 221
Sierra Madre, 11016
Sierra Village, 456
Sierra, 19246
Signal Hill, 11185
Silver Lakes, 5623
Silverado Resort, 1095
Simi Valley, 125793
Sky Valley, 2406
Sleepy Hollow, 2384
Sloughhouse, 6043
Smith Corner, 524
Smith River-Gasquet, 3948
Smith River, 866
Snelling, 1336
Soda Bay, 1016
Solana Beach, 13154
Soledad, 26478
Solvang, 5343
Sonoma, 10849
Sonora, 4804
Soquel, 9644
Soulsbyville, 2215
South Antelope Valley, 171490
South Bay Cities, 134363
South Coastside, 28564
South Coast, 298389
South Dos Palos, 1620
South El Dorado, 87572
South El Monte, 20296
South Gate, 95304
South Lake Tahoe, 21286
South Monrovia Island, 6777
South Oroville, 5742
South Pasadena, 25860
South San Francisco, 65547
South San Gabriel, 8070
South San Jose Hills, 20551
South Sutter, 3124
South Taft, 2169
South Whittier, 57156
South Woodbridge, 3308
South Yuba City, 14624
Southeast Marin, 51775
Southwest Marin, 2966
Southwest San Gabriel Valley, 326450
Southwest Shasta, 4229
Spreckels, 673
Spring Valley Lake, 8220
Spring Valley, 28205
Springville-Johnsondale, 5837
Springville, 934
Squaw Valley, 3162
Squirrel Mountain Valley, 547
St. Helena, 5907
Stallion Springs, 2488
Stanford, 13809
Stanton, 38915
Stevenson Ranch, 17557
Stevinson, 313
Stinson Beach, 632
Stirling City, 295
Stockton, 297984
Stratford, 1277
Strathmore, 2819
Strawberry, 5393
Suisun City, 28644
Sultana, 775
Summerland, 1448
Sun City, 23436
Sun Village, 11565
Sunnyside-Tahoe City, 1557
Sunnyside, 4235
Sunnyslope, 5153
Sunnyvale, 146197
Sunol-Midtown, 764
Sunol, 913
Sunset Beach, 971
Surprise Valley, 1257
Susanville, 16616
Sutter Creek, 2457
Sutter, 2904
Swall Meadows, 220
Taft Heights, 1949
Taft Mosswood, 1530
Taft, 8954
Tahoe Vista, 1433
Tahoma, 1191
Talmage, 1130
Tamalpais-Homestead Valley, 10735
Tara Hills, 5126
Tarpey Village, 3888
Tassajara, 28330
Tehachapi, 13784
Tehama, 419
Temecula, 105208
Temelec, 1441
Temescal Valley, 22535
Temple City, 36099
Templeton, 7674
Terminous, 381
Terra Bella, 3310
Teviston, 1214
Thermalito, 6646
Thermal, 2865
Thornton, 5446
Thousand Oaks, 128412
Thousand Palms, 7715
Three Rivers, 2182
Three Rocks, 246
Tiburon, 9093
Tierra Buena, 5302
Tipton, 2543
Tomales, 204
Tonyville, 316
Tooleville, 339
Topanga, 8289
Toro Canyon, 1508
Toro, 10399
