GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US91732,91732,ZCTA5 91732,62661,1289
8600000US91733,91733,ZCTA5 91733,43459,1053
8600000US91737,91737,ZCTA5 91737,24872,1225
8600000US91739,91739,ZCTA5 91739,34016,1089
8600000US91740,91740,ZCTA5 91740,25235,708
8600000US91741,91741,ZCTA5 91741,25667,754
8600000US91744,91744,ZCTA5 91744,83241,2174
8600000US91745,91745,ZCTA5 91745,55723,1355
8600000US91746,91746,ZCTA5 91746,31680,1673
8600000US91748,91748,ZCTA5 91748,47076,1173
8600000US91750,91750,ZCTA5 91750,33800,506
8600000US91752,91752,ZCTA5 91752,28618,1772
8600000US91754,91754,ZCTA5 91754,32778,891
8600000US91755,91755,ZCTA5 91755,27442,881
8600000US91759,91759,ZCTA5 91759,284,115
8600000US91761,91761,ZCTA5 91761,59903,2023
8600000US91762,91762,ZCTA5 91762,55801,1773
8600000US91763,91763,ZCTA5 91763,36725,285
8600000US91764,91764,ZCTA5 91764,53055,1779
8600000US91765,91765,ZCTA5 91765,47017,531
8600000US91766,91766,ZCTA5 91766,70842,1841
8600000US91767,91767,ZCTA5 91767,49461,1683
8600000US91768,91768,ZCTA5 91768,35525,1533
8600000US91770,91770,ZCTA5 91770,61869,763
8600000US91773,91773,ZCTA5 91773,33269,185
8600000US91775,91775,ZCTA5 91775,24677,826
8600000US91776,91776,ZCTA5 91776,37634,815
8600000US91780,91780,ZCTA5 91780,34139,664
8600000US91784,91784,ZCTA5 91784,27285,776
8600000US91786,91786,ZCTA5 91786,50650,766
8600000US91789,91789,ZCTA5 91789,42292,683
8600000US91790,91790,ZCTA5 91790,44720,1297
8600000US91791,91791,ZCTA5 91791,32170,1220
8600000US91792,91792,ZCTA5 91792,30560,834
8600000US91801,91801,ZCTA5 91801,53135,924
8600000US91803,91803,ZCTA5 91803,30197,923
8600000US91901,91901,ZCTA5 91901,16606,845
8600000US91902,91902,ZCTA5 91902,17399,1021
8600000US91905,91905,ZCTA5 91905,955,336
8600000US91906,91906,ZCTA5 91906,3511,542
8600000US91910,91910,ZCTA5 91910,71887,1732
8600000US91911,91911,ZCTA5 91911,79518,1651
8600000US91913,91913,ZCTA5 91913,40633,1790
8600000US91914,91914,ZCTA5 91914,16741,1359
8600000US91915,91915,ZCTA5 91915,24329,1033
8600000US91916,91916,ZCTA5 91916,1491,300
8600000US91917,91917,ZCTA5 91917,648,407
8600000US91931,91931,ZCTA5 91931,449,292
8600000US91932,91932,ZCTA5 91932,25334,978
8600000US91934,91934,ZCTA5 91934,477,471
8600000US91935,91935,ZCTA5 91935,8387,782
8600000US91941,91941,ZCTA5 91941,31762,1268
8600000US91942,91942,ZCTA5 91942,38314,783
8600000US91945,91945,ZCTA5 91945,25343,107
8600000US91948,91948,ZCTA5 91948,43,54
8600000US91950,91950,ZCTA5 91950,60003,498
8600000US91962,91962,ZCTA5 91962,1027,299
8600000US91963,91963,ZCTA5 91963,1424,606
8600000US91977,91977,ZCTA5 91977,58402,1754
8600000US91978,91978,ZCTA5 91978,8871,611
8600000US91980,91980,ZCTA5 91980,359,468
8600000US92003,92003,ZCTA5 92003,3841,457
8600000US92004,92004,ZCTA5 92004,2847,630
8600000US92007,92007,ZCTA5 92007,11094,533
8600000US92008,92008,ZCTA5 92008,26343,1056
8600000US92009,92009,ZCTA5 92009,39781,876
8600000US92010,92010,ZCTA5 92010,14194,721
8600000US92011,92011,ZCTA5 92011,21982,793
8600000US92014,92014,ZCTA5 92014,13333,436
8600000US92019,92019,ZCTA5 92019,42914,1440
8600000US92020,92020,ZCTA5 92020,56836,1423
8600000US92021,92021,ZCTA5 92021,63397,2018
8600000US92024,92024,ZCTA5 92024,48214,548
8600000US92025,92025,ZCTA5 92025,47937,1660
8600000US92026,92026,ZCTA5 92026,48713,1471
8600000US92027,92027,ZCTA5 92027,54956,1768
8600000US92028,92028,ZCTA5 92028,47278,1738
8600000US92029,92029,ZCTA5 92029,20170,946
8600000US92036,92036,ZCTA5 92036,2733,440
8600000US92037,92037,ZCTA5 92037,43149,1206
8600000US92040,92040,ZCTA5 92040,41024,1930
8600000US92054,92054,ZCTA5 92054,42829,1680
8600000US92055,92055,ZCTA5 92055,12107,2281
8600000US92056,92056,ZCTA5 92056,50765,1376
8600000US92057,92057,ZCTA5 92057,53061,1549
8600000US92058,92058,ZCTA5 92058,44141,2042
8600000US92059,92059,ZCTA5 92059,1473,384
8600000US92060,92060,ZCTA5 92060,212,149
8600000US92061,92061,ZCTA5 92061,2678,604
8600000US92064,92064,ZCTA5 92064,47942,143
8600000US92065,92065,ZCTA5 92065,36840,1461
8600000US92066,92066,ZCTA5 92066,363,168
8600000US92067,92067,ZCTA5 92067,7576,886
8600000US92069,92069,ZCTA5 92069,45316,1190
8600000US92070,92070,ZCTA5 92070,1243,273
8600000US92071,92071,ZCTA5 92071,53302,35
8600000US92075,92075,ZCTA5 92075,12083,198
8600000US92078,92078,ZCTA5 92078,41589,1184
8600000US92081,92081,ZCTA5 92081,27927,1195
8600000US92082,92082,ZCTA5 92082,19420,1222
8600000US92083,92083,ZCTA5 92083,36247,1582
8600000US92084,92084,ZCTA5 92084,46982,1534
8600000US92086,92086,ZCTA5 92086,1188,224
8600000US92091,92091,ZCTA5 92091,1040,275
8600000US92101,92101,ZCTA5 92101,33886,1950
8600000US92102,92102,ZCTA5 92102,42715,1690
8600000US92103,92103,ZCTA5 92103,30324,949
8600000US92104,92104,ZCTA5 92104,43714,1699
8600000US92105,92105,ZCTA5 92105,65746,2105
8600000US92106,92106,ZCTA5 92106,19217,864
8600000US92107,92107,ZCTA5 92107,27264,922
8600000US92108,92108,ZCTA5 92108,17828,1080
8600000US92109,92109,ZCTA5 92109,44095,1589
8600000US92110,92110,ZCTA5 92110,26673,1099
8600000US92111,92111,ZCTA5 92111,44737,1615
8600000US92113,92113,ZCTA5 92113,55206,2091
8600000US92114,92114,ZCTA5 92114,66461,1539
8600000US92115,92115,ZCTA5 92115,59978,1928
8600000US92116,92116,ZCTA5 92116,31847,1234
8600000US92117,92117,ZCTA5 92117,52612,1549
8600000US92118,92118,ZCTA5 92118,18838,485
8600000US92119,92119,ZCTA5 92119,23772,1084
8600000US92120,92120,ZCTA5 92120,26430,917
8600000US92121,92121,ZCTA5 92121,4398,483
8600000US92122,92122,ZCTA5 92122,44768,1215
8600000US92123,92123,ZCTA5 92123,27565,1137
8600000US92124,92124,ZCTA5 92124,31360,800
8600000US92126,92126,ZCTA5 92126,76373,2425
8600000US92127,92127,ZCTA5 92127,39425,1615
8600000US92128,92128,ZCTA5 92128,47934,1278
8600000US92129,92129,ZCTA5 92129,52942,1302
8600000US92130,92130,ZCTA5 92130,47527,1242
8600000US92131,92131,ZCTA5 92131,34073,884
8600000US92132,92132,ZCTA5 92132,0,95
8600000US92134,92134,ZCTA5 92134,30,31
8600000US92135,92135,ZCTA5 92135,793,275
8600000US92139,92139,ZCTA5 92139,35249,1455
8600000US92140,92140,ZCTA5 92140,3854,518
8600000US92145,92145,ZCTA5 92145,1014,407
8600000US92147,92147,ZCTA5 92147,412,166
8600000US92154,92154,ZCTA5 92154,79755,2401
8600000US92155,92155,ZCTA5 92155,843,313
8600000US92173,92173,ZCTA5 92173,28055,1110
8600000US92201,92201,ZCTA5 92201,61304,1189
8600000US92203,92203,ZCTA5 92203,24016,1266
8600000US92210,92210,ZCTA5 92210,4797,71
8600000US92211,92211,ZCTA5 92211,24271,898
8600000US92220,92220,ZCTA5 92220,31563,455
8600000US92222,92222,ZCTA5 92222,0,95
8600000US92223,92223,ZCTA5 92223,40779,605
8600000US92225,92225,ZCTA5 92225,25016,515
8600000US92227,92227,ZCTA5 92227,26079,326
8600000US92230,92230,ZCTA5 92230,1741,421
8600000US92231,92231,ZCTA5 92231,37694,230
8600000US92233,92233,ZCTA5 92233,10045,299
8600000US92234,92234,ZCTA5 92234,51130,61
8600000US92236,92236,ZCTA5 92236,39743,253
8600000US92239,92239,ZCTA5 92239,284,96
8600000US92240,92240,ZCTA5 92240,32695,1299
8600000US92241,92241,ZCTA5 92241,8619,895
8600000US92242,92242,ZCTA5 92242,1331,223
8600000US92243,92243,ZCTA5 92243,47445,584
8600000US92249,92249,ZCTA5 92249,7347,735
8600000US92250,92250,ZCTA5 92250,8638,532
8600000US92251,92251,ZCTA5 92251,21119,729
8600000US92252,92252,ZCTA5 92252,9430,1017
8600000US92253,92253,ZCTA5 92253,36322,307
8600000US92254,92254,ZCTA5 92254,10996,827
8600000US92256,92256,ZCTA5 92256,3632,460
8600000US92257,92257,ZCTA5 92257,1978,450
8600000US92258,92258,ZCTA5 92258,665,440
8600000US92259,92259,ZCTA5 92259,305,152
8600000US92260,92260,ZCTA5 92260,31399,898
8600000US92262,92262,ZCTA5 92262,24827,671
8600000US92264,92264,ZCTA5 92264,20885,654
8600000US92266,92266,ZCTA5 92266,144,122
8600000US92267,92267,ZCTA5 92267,34,50
8600000US92268,92268,ZCTA5 92268,563,260
8600000US92270,92270,ZCTA5 92270,17022,45
8600000US92273,92273,ZCTA5 92273,1691,358
8600000US92274,92274,ZCTA5 92274,18184,1204
8600000US92275,92275,ZCTA5 92275,1173,495
8600000US92276,92276,ZCTA5 92276,7564,834
8600000US92277,92277,ZCTA5 92277,23463,953
8600000US92278,92278,ZCTA5 92278,4835,780
8600000US92280,92280,ZCTA5 92280,0,95
8600000US92281,92281,ZCTA5 92281,1872,215
8600000US92282,92282,ZCTA5 92282,879,370
8600000US92283,92283,ZCTA5 92283,2935,452
8600000US92284,92284,ZCTA5 92284,24896,464
8600000US92285,92285,ZCTA5 92285,2667,651
8600000US92301,92301,ZCTA5 92301,32014,659
8600000US92304,92304,ZCTA5 92304,38,61
8600000US92305,92305,ZCTA5 92305,146,113
8600000US92307,92307,ZCTA5 92307,36875,1177
8600000US92308,92308,ZCTA5 92308,39109,1057
8600000US92309,92309,ZCTA5 92309,713,250
8600000US92310,92310,ZCTA5 92310,9781,733
8600000US92311,92311,ZCTA5 92311,32774,836
8600000US92313,92313,ZCTA5 92313,12132,50
8600000US92314,92314,ZCTA5 92314,9433,1244
8600000US92315,92315,ZCTA5 92315,5109,32
8600000US92316,92316,ZCTA5 92316,31232,2001
8600000US92320,92320,ZCTA5 92320,7770,132
8600000US92321,92321,ZCTA5 92321,789,328
8600000US92322,92322,ZCTA5 92322,864,367
8600000US92324,92324,ZCTA5 92324,56103,695
8600000US92325,92325,ZCTA5 92325,7707,1007
8600000US92327,92327,ZCTA5 92327,1253,1078
8600000US92328,92328,ZCTA5 92328,249,87
8600000US92332,92332,ZCTA5 92332,8,7
8600000US92333,92333,ZCTA5 92333,663,301
8600000US92335,92335,ZCTA5 92335,97773,2477
8600000US92336,92336,ZCTA5 92336,88670,2009
8600000US92337,92337,ZCTA5 92337,35737,1180
8600000US92338,92338,ZCTA5 92338,0,95
8600000US92339,92339,ZCTA5 92339,849,245
8600000US92341,92341,ZCTA5 92341,233,158
8600000US92342,92342,ZCTA5 92342,5207,820
8600000US92344,92344,ZCTA5 92344,20336,1536
8600000US92345,92345,ZCTA5 92345,76950,1292
8600000US92346,92346,ZCTA5 92346,56748,1594
8600000US92347,92347,ZCTA5 92347,1551,487
8600000US92352,92352,ZCTA5 92352,6545,1000
8600000US92354,92354,ZCTA5 92354,21196,834
8600000US92356,92356,ZCTA5 92356,6310,1021
8600000US92358,92358,ZCTA5 92358,735,285
8600000US92359,92359,ZCTA5 92359,7425,658
8600000US92363,92363,ZCTA5 92363,5183,103
8600000US92364,92364,ZCTA5 92364,60,51
8600000US92365,92365,ZCTA5 92365,2972,611
8600000US92368,92368,ZCTA5 92368,1095,276
8600000US92371,92371,ZCTA5 92371,14618,1224
8600000US92372,92372,ZCTA5 92372,5287,651
8600000US92373,92373,ZCTA5 92373,33506,1136
8600000US92374,92374,ZCTA5 92374,40472,977
8600000US92376,92376,ZCTA5 92376,83759,1814
8600000US92377,92377,ZCTA5 92377,19867,1314
8600000US92378,92378,ZCTA5 92378,140,96
8600000US92382,92382,ZCTA5 92382,5428,1037
8600000US92384,92384,ZCTA5 92384,42,28
8600000US92385,92385,ZCTA5 92385,223,162
8600000US92386,92386,ZCTA5 92386,2086,716
8600000US92389,92389,ZCTA5 92389,98,44
8600000US92391,92391,ZCTA5 92391,1909,533
8600000US92392,92392,ZCTA5 92392,51454,1864
8600000US92394,92394,ZCTA5 92394,32351,1555
8600000US92395,92395,ZCTA5 92395,42322,1546
8600000US92397,92397,ZCTA5 92397,4757,734
8600000US92398,92398,ZCTA5 92398,1175,641
8600000US92399,92399,ZCTA5 92399,52219,534
8600000US92401,92401,ZCTA5 92401,2150,555
8600000US92404,92404,ZCTA5 92404,60073,2672
8600000US92405,92405,ZCTA5 92405,31080,1855
8600000US92407,92407,ZCTA5 92407,56774,2205
8600000US92408,92408,ZCTA5 92408,14277,1247
8600000US92410,92410,ZCTA5 92410,46272,2348
8600000US92411,92411,ZCTA5 92411,25300,1342
8600000US92501,92501,ZCTA5 92501,22186,1358
8600000US92503,92503,ZCTA5 92503,89679,2013
8600000US92504,92504,ZCTA5 92504,53676,2275
8600000US92505,92505,ZCTA5 92505,48132,1497
8600000US92506,92506,ZCTA5 92506,44064,1517
8600000US92507,92507,ZCTA5 92507,52094,2004
8600000US92508,92508,ZCTA5 92508,33685,1286
